Const,male,age,I(age^2),vaccine08,True.Const,True.male,True.age,True.I(age^2),True.vaccine08,HTE.cover1,HTE.cover2,HTE.truecover
0.126315764,-0.048921954,0.009427724,-0.000146214,0.178668204,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.015526256,0.106437223,0.0128164,-0.000205011,0.225636246,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.02908556,0.039624524,0.013627789,-0.000168787,0.098926672,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.042872212,0.07152952,0.012863143,-0.000216138,0.218127349,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.00354711,0.016897896,0.018124182,-0.000293663,0.183188287,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.112957824,0.102305988,0.004893826,-8.68E-05,0.283203838,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.155287862,-0.036657794,0.010315906,-0.000166346,0.200098895,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.145712742,0.08414025,0.006106138,-9.40E-05,0.131673287,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.033374844,0.014105406,0.010198722,-0.000151932,0.074413782,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.023484509,0.093586908,0.0167065,-0.000261768,0.272315033,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.114590543,0.018816874,0.007244137,-0.000114303,0.285429504,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.215470251,-0.067003418,0.001284168,-5.97E-06,0.20299195,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.019593249,0.08740455,0.013826829,-0.000203512,0.31370773,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.063750753,-0.019995607,0.016747646,-0.000200083,0.249903877,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.115359991,-0.017991463,0.010650559,-0.000169724,0.067754914,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.064179868,0.045810635,0.009700628,-0.00013501,0.185266949,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.047997396,0.078969367,0.01215716,-0.000151026,0.225586503,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.103358615,-0.085128377,0.008624964,-0.000100792,0.311151109,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.174037104,0.056295932,0.003435415,-5.91E-05,0.212815829,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.058349321,0.044076711,0.018068893,-0.000273606,0.186338238,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.103397697,0.024880975,0.006344664,-9.20E-05,0.087671284,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
