Estimate_0,Estimate_1,Estimate_2,Estimate_3,Estimate_4,True_0,True_1,True_2,True_3,True_4,Pvalue_0,Pvalue_1,Pvalue_2,Pvalue_3,Pvalue_4,Coverage_0,Coverage_1,Coverage_2,Coverage_3,Coverage_4
0.145712742,0.08414025,0.006106138,-9.40E-05,0.131673287,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.057054326,0.204775139,0.213003671,0.218609316,0.154669145,1,1,1,1,1
0.033374844,0.014105406,0.010198722,-0.000151932,0.074413782,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.694980134,0.834400855,0.070627962,0.092137624,0.421918851,1,1,1,1,1
0.023484509,0.093586908,0.0167065,-0.000261768,0.272315033,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.743355044,0.130238408,7.12E-05,1.48E-05,0.002341068,1,1,1,1,1
0.114590543,0.018816874,0.007244137,-0.000114303,0.285429504,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.175796834,0.784462188,0.153432168,0.140249619,0.00209847,1,1,1,1,1
0.215470251,-0.067003418,0.001284168,-5.97E-06,0.20299195,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.01687151,0.333441253,0.825123884,0.947202784,0.028111998,1,1,1,1,1
-0.019593249,0.08740455,0.013826829,-0.000203512,0.31370773,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.78066106,0.200700969,0.001611197,0.002267813,0.000974495,1,1,1,1,1
-0.063750753,-0.019995607,0.016747646,-0.000200083,0.249903877,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.400111519,0.754434173,0.000654402,0.010573562,0.007375991,1,1,1,1,1
0.115359991,-0.017991463,0.010650559,-0.000169724,0.067754914,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.130195522,0.800163869,0.019409885,0.013878371,0.479598127,1,1,1,1,1
0.064179868,0.045810635,0.009700628,-0.00013501,0.185266949,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.414805055,0.509727986,0.038433943,0.043989168,0.038848556,1,1,1,1,1
-0.047997396,0.078969367,0.01215716,-0.000151026,0.225586503,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.524825808,0.223454916,0.016848154,0.063305907,0.010999404,1,1,1,1,1
0.103358615,-0.085128377,0.008624964,-0.000100792,0.311151109,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.181209654,0.199528552,0.064538024,0.147573843,0.000830388,1,0,1,1,1
0.174037104,0.056295932,0.003435415,-5.91E-05,0.212815829,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.053328647,0.41642383,0.530884611,0.466718872,0.013887297,1,1,1,1,1
-0.058349321,0.044076711,0.018068893,-0.000273606,0.186338238,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.445587868,0.501759112,4.73E-05,1.80E-05,0.056052163,1,1,1,1,1
0.103397697,0.024880975,0.006344664,-9.20E-05,0.087671284,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.204007589,0.688364618,0.239646082,0.279908757,0.388102493,1,1,1,1,1
-0.095475673,0.110268877,0.020182417,-0.00026413,0.222630916,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.213613169,0.096815947,1.89E-05,0.000190907,0.012581891,1,1,1,1,1
0.0023069,0.03831722,0.014023354,-0.000177215,0.219006434,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.976429815,0.5476564,0.003687253,0.01549765,0.014973456,1,1,1,1,1
0.060494403,0.082026495,0.009572881,-0.000124557,0.05833171,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.4444843,0.237507001,0.040626658,0.065846166,0.524044615,1,1,1,1,1
0.088584363,0.02657313,0.009886693,-0.000169299,0.313400802,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.270025495,0.682153847,0.056498383,0.039816389,0.000423675,1,1,1,1,1
0.104835011,0.120640051,0.007029312,-9.04E-05,0.283502456,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.188582666,0.073223437,0.140859508,0.205511802,0.001318943,1,1,1,1,1
0.07854349,-0.026203573,0.009091073,-0.000130939,0.220879542,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.31191031,0.690178263,0.076088157,0.10757707,0.015450628,1,1,1,1,1
0.068805325,0.062039167,0.010596634,-0.000131467,0.080875563,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.428072113,0.359571627,0.058276042,0.128303789,0.41518193,1,1,1,1,1
-0.05513907,0.111777411,0.017230403,-0.00022223,0.096679607,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.5005231,0.084215623,0.000225438,0.000512446,0.327481234,1,1,1,1,1
