Estimate_NTLB,Estimate_NTUB,Estimate_ATLB,Estimate_ATUB,Estimate_COLB,Estimate_COUB,True_NTLB,True_NTUB,True_ATLB,True_ATUB,True_COLB,True_COUB,Coverage_NT,Coverage_AT,Coverage_CO
0.106862777,0.219184481,0,0.564986505,0.110255458,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.189171385,0.251282824,0,0.695527273,0.173980873,0.892198865,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,1,1
0.087781521,0.206537839,0,0.487348212,0.096180028,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.103123704,0.2186931,0,0.683275638,0.143046232,0.897465706,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.094455591,0.19995197,0,0.684144693,0.135503475,0.94820841,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.148176092,0.245220484,0,0.53295458,0.125697453,0.933591905,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.174584733,0.229445761,0,0.599724422,0.063085033,0.839480513,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,1,1
0.138381339,0.227398267,0,0.619593881,0.078011489,0.890585223,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.130620105,0.206420614,0,0.636510068,0.106355362,0.883654391,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.104426774,0.205445913,0,0.652699801,0.200206555,0.87607147,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.147983614,0.239609465,0,0.539987887,0.038843275,0.803325933,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.121046303,0.234907377,0,0.648673214,0.119286936,0.900118176,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.085619143,0.19150378,0,0.71153433,0.153843466,0.942030745,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.068416093,0.181097706,0,0.529888459,0.138524761,0.82571119,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.133068114,0.212851402,0,0.631722488,0.11885286,0.919128415,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.122379255,0.241246868,0,0.537603148,0.125970423,0.915296547,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.126122179,0.231167774,0,0.554027177,0.105152957,0.941324524,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.061326261,0.178290714,0,0.636363492,0.147264386,0.945203374,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.100559368,0.207432767,0,0.55394133,0.150430323,0.940408643,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.136465803,0.222483665,0,0.605880139,0.159803024,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.140641046,0.25364139,0,0.463548609,0.141574013,0.901882058,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.091010989,0.205687931,0,0.528997792,0.081261762,0.979783159,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.102635058,0.193485385,0,0.558384736,0.097909106,0.939367677,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.141101958,0.229893056,0,0.539521769,0.107088562,0.919298636,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.124031542,0.213782199,0,0.608470083,0.143965975,0.886612118,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.131239293,0.226193407,0,0.495036163,0.075891403,0.967787916,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.103457724,0.202519131,0,0.394385341,0.129188292,0.936818136,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.154926677,0.239616164,0,0.530992423,0.159805856,0.951385669,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.113136022,0.228726243,0,0.630966739,0.109752147,0.849136729,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.123241915,0.245640289,0,0.619716245,0.096803983,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.105229083,0.220740581,0,0.567639268,0.109276052,0.883391161,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.059708498,0.195071751,0,0.573800167,0.124145547,0.845644574,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.136920662,0.261361418,0,0.600410848,0.11550863,0.893697284,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
