ITT.est1,ITT.est0,ITT.est,ITT.se,ITT.stat,ITT.true1,ITT.true0,ITT.true,ITT.truese,ITT.cover,ITT.truecover,Asize
0.362369338,0.112804878,0.24956446,0.03409991,7.318625224,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
0.356401384,0.116564417,0.239836967,0.032121314,7.466598977,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.324414716,0.123417722,0.200996994,0.034768522,5.78100491,0.346341463,0.110569106,0.235772358,0.028317025,1,1,235
0.318493151,0.099071207,0.219421943,0.031924578,6.873135223,0.346341463,0.110569106,0.235772358,0.028317025,1,1,225
0.337931034,0.12,0.217931034,0.034363887,6.34186212,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.319727891,0.093457944,0.226269947,0.034161999,6.62343992,0.346341463,0.110569106,0.235772358,0.028317025,1,1,229
0.305369128,0.113564669,0.191804459,0.033149581,5.786029646,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.355172414,0.110769231,0.244403183,0.03407185,7.173170277,0.346341463,0.110569106,0.235772358,0.028317025,1,1,239
0.356401384,0.098159509,0.258241875,0.031532607,8.189677267,0.346341463,0.110569106,0.235772358,0.028317025,1,1,224
0.300353357,0.120481928,0.179871429,0.035761548,5.029743873,0.346341463,0.110569106,0.235772358,0.028317025,1,0,230
0.306620209,0.12804878,0.178571429,0.033389256,5.348170391,0.346341463,0.110569106,0.235772358,0.028317025,1,0,228
0.370748299,0.102803738,0.267944561,0.03227714,8.301372402,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.332142857,0.092537313,0.239605544,0.032493009,7.374064414,0.346341463,0.110569106,0.235772358,0.028317025,1,1,224
0.34137931,0.116923077,0.224456233,0.031536705,7.117301308,0.346341463,0.110569106,0.235772358,0.028317025,1,1,241
0.336633663,0.115384615,0.221249048,0.035403677,6.249323975,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
0.345762712,0.078125,0.267637712,0.031171147,8.586071886,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.327702703,0.122257053,0.205445649,0.032627346,6.296731861,0.346341463,0.110569106,0.235772358,0.028317025,1,1,232
0.365517241,0.104615385,0.260901857,0.0346187,7.536442957,0.346341463,0.110569106,0.235772358,0.028317025,1,1,240
0.347368421,0.096969697,0.250398724,0.032617681,7.676778836,0.346341463,0.110569106,0.235772358,0.028317025,1,1,229
0.323232323,0.113207547,0.210024776,0.035445512,5.925285442,0.346341463,0.110569106,0.235772358,0.028317025,1,1,225
0.339041096,0.111455108,0.227585988,0.034701073,6.558471252,0.346341463,0.110569106,0.235772358,0.028317025,1,1,239
0.321192053,0.102236422,0.218955631,0.033055813,6.623816331,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
