V1.11,V1.12,V1.13,V1.14,V1.15,V1.21,V1.22,V1.23,V1.24,V1.25,V1.31,V1.32,V1.33,V1.34,V1.35,V1.41,V1.42,V1.43,V1.44,V1.45,V1.51,V1.52,V1.53,V1.54,V1.55,V2.11,V2.12,V2.13,V2.14,V2.15,V2.21,V2.22,V2.23,V2.24,V2.25,V2.31,V2.32,V2.33,V2.34,V2.35,V2.41,V2.42,V2.43,V2.44,V2.45,V2.51,V2.52,V2.53,V2.54,V2.55
0.008117851,-0.001359943,-0.000446225,5.67E-06,-0.000935689,-0.001359943,0.004811554,2.83E-05,-6.61E-07,-0.00053561,-0.000446225,2.83E-05,3.37E-05,-4.86E-07,6.46E-05,5.67E-06,-6.61E-07,-4.86E-07,7.76E-09,-1.67E-06,-0.000935689,-0.00053561,6.46E-05,-1.67E-06,0.008852626,0.007577286,-0.001694286,-0.000405988,5.08E-06,-0.000499574,-0.001694286,0.004796817,5.33E-05,-1.02E-06,-0.000512876,-0.000405988,5.33E-05,3.06E-05,-4.38E-07,3.81E-05,5.08E-06,-1.02E-06,-4.38E-07,6.99E-09,-1.31E-06,-0.000499574,-0.000512876,3.81E-05,-1.31E-06,0.008980509
0.007704323,-0.002389916,-0.000392462,4.98E-06,-0.0010588,-0.002389916,0.004790809,7.25E-05,-1.09E-06,-2.44E-05,-0.000392462,7.25E-05,2.85E-05,-4.15E-07,6.49E-05,4.98E-06,-1.09E-06,-4.15E-07,6.80E-09,-1.52E-06,-0.0010588,-2.44E-05,6.49E-05,-1.52E-06,0.007601199,0.007857975,-0.002526945,-0.000408773,5.22E-06,-0.000838964,-0.002526945,0.004904706,8.20E-05,-1.17E-06,-0.000377615,-0.000408773,8.20E-05,2.96E-05,-4.32E-07,5.88E-05,5.22E-06,-1.17E-06,-4.32E-07,7.05E-09,-1.42E-06,-0.000838964,-0.000377615,5.88E-05,-1.42E-06,0.007526719
0.005863618,-0.00174282,-0.000289553,3.55E-06,-0.000602972,-0.00174282,0.004402763,2.56E-05,-3.74E-07,-0.000312744,-0.000289553,2.56E-05,2.40E-05,-3.53E-07,3.22E-05,3.55E-06,-3.74E-07,-3.53E-07,5.84E-09,-1.03E-06,-0.000602972,-0.000312744,3.22E-05,-1.03E-06,0.008559422,0.006695541,-0.001980168,-0.000345335,4.41E-06,-0.001106831,-0.001980168,0.004453969,4.57E-05,-6.92E-07,-0.000217822,-0.000345335,4.57E-05,2.76E-05,-4.10E-07,6.44E-05,4.41E-06,-6.92E-07,-4.10E-07,6.76E-09,-1.49E-06,-0.001106831,-0.000217822,6.44E-05,-1.49E-06,0.0086357
0.007244897,-0.002418318,-0.000406497,5.46E-06,-0.001598263,-0.002418318,0.004552253,0.000116323,-1.95E-06,0.000126691,-0.000406497,0.000116323,3.18E-05,-4.83E-07,7.46E-05,5.46E-06,-1.95E-06,-4.83E-07,8.14E-09,-1.72E-06,-0.001598263,0.000126691,7.46E-05,-1.72E-06,0.008585609,0.007102064,-0.002423883,-0.000390403,5.13E-06,-0.001541184,-0.002423883,0.004608766,0.000114485,-1.91E-06,0.000269925,-0.000390403,0.000114485,2.97E-05,-4.42E-07,6.81E-05,5.13E-06,-1.91E-06,-4.42E-07,7.34E-09,-1.66E-06,-0.001541184,0.000269925,6.81E-05,-1.66E-06,0.008380812
0.005144811,-0.001500305,-0.000234821,2.54E-06,-0.000417307,-0.001500305,0.003825244,2.25E-05,-2.98E-07,-0.000166534,-0.000234821,2.25E-05,1.77E-05,-2.34E-07,-1.31E-05,2.54E-06,-2.98E-07,-2.34E-07,3.65E-09,-2.62E-07,-0.000417307,-0.000166534,-1.31E-05,-2.62E-07,0.008007433,0.005087855,-0.001678765,-0.000224815,2.39E-06,-0.000453821,-0.001678765,0.003891709,2.64E-05,-2.96E-07,-9.31E-05,-0.000224815,2.64E-05,1.70E-05,-2.26E-07,-1.14E-05,2.39E-06,-2.96E-07,-2.26E-07,3.57E-09,-3.02E-07,-0.000453821,-9.31E-05,-1.14E-05,-3.02E-07,0.008075989
0.007164432,-0.002507075,-0.000342136,4.16E-06,-0.000596955,-0.002507075,0.004733175,5.57E-05,-7.67E-07,0.000299687,-0.000342136,5.57E-05,2.58E-05,-3.70E-07,3.61E-05,4.16E-06,-7.67E-07,-3.70E-07,6.01E-09,-1.15E-06,-0.000596955,0.000299687,3.61E-05,-1.15E-06,0.008610825,0.00682324,-0.002463297,-0.000354223,4.62E-06,-0.000491433,-0.002463297,0.004712589,6.34E-05,-9.57E-07,0.000107538,-0.000354223,6.34E-05,2.86E-05,-4.31E-07,4.50E-05,4.62E-06,-9.57E-07,-4.31E-07,7.20E-09,-1.38E-06,-0.000491433,0.000107538,4.50E-05,-1.38E-06,0.008692398
0.008131338,-0.002728207,-0.000438093,5.55E-06,-0.000234282,-0.002728207,0.004799061,0.00010349,-1.52E-06,-0.000242939,-0.000438093,0.00010349,3.38E-05,-4.97E-07,-5.09E-05,5.55E-06,-1.52E-06,-4.97E-07,8.13E-09,6.07E-07,-0.000234282,-0.000242939,-5.09E-05,6.07E-07,0.008546804,0.007572015,-0.002446639,-0.000380612,4.50E-06,-0.000661477,-0.002446639,0.00470103,6.07E-05,-7.13E-07,0.000215136,-0.000380612,6.07E-05,2.85E-05,-4.01E-07,-7.90E-07,4.50E-06,-7.13E-07,-4.01E-07,6.41E-09,-4.18E-07,-0.000661477,0.000215136,-7.90E-07,-4.18E-07,0.007671863
0.004951019,-0.001888805,-0.000222463,2.53E-06,-0.00090002,-0.001888805,0.004666044,1.57E-05,-2.36E-07,0.000281239,-0.000222463,1.57E-05,1.92E-05,-2.72E-07,1.17E-05,2.53E-06,-2.36E-07,-2.72E-07,4.44E-09,-6.74E-07,-0.00090002,0.000281239,1.17E-05,-6.74E-07,0.009049088,0.004742905,-0.001710099,-0.00020783,2.35E-06,-0.001259404,-0.001710099,0.004662416,-5.68E-06,7.95E-08,0.000411496,-0.00020783,-5.68E-06,1.91E-05,-2.73E-07,2.09E-05,2.35E-06,7.95E-08,-2.73E-07,4.49E-09,-6.48E-07,-0.001259404,0.000411496,2.09E-05,-6.48E-07,0.008566985
0.005740409,-0.002122228,-0.000300165,3.93E-06,-0.001373467,-0.002122228,0.004086405,6.77E-05,-9.88E-07,0.000345135,-0.000300165,6.77E-05,2.41E-05,-3.66E-07,6.09E-05,3.93E-06,-9.88E-07,-3.66E-07,6.13E-09,-1.38E-06,-0.001373467,0.000345135,6.09E-05,-1.38E-06,0.008699199,0.006195814,-0.002111285,-0.000330733,4.37E-06,-0.001243207,-0.002111285,0.003995088,5.66E-05,-7.31E-07,0.000307463,-0.000330733,5.66E-05,2.70E-05,-4.14E-07,5.29E-05,4.37E-06,-7.31E-07,-4.14E-07,6.98E-09,-1.28E-06,-0.001243207,0.000307463,5.29E-05,-1.28E-06,0.008520397
0.005810886,-0.001963933,-0.000265268,3.00E-06,-0.000919753,-0.001963933,0.005051594,2.15E-05,-3.71E-07,0.000155388,-0.000265268,2.15E-05,2.08E-05,-2.90E-07,4.88E-05,3.00E-06,-3.71E-07,-2.90E-07,4.76E-09,-1.30E-06,-0.000919753,0.000155388,4.88E-05,-1.30E-06,0.009185554,0.005963598,-0.001757867,-0.000271894,3.00E-06,-0.000867403,-0.001757867,0.005086545,1.00E-05,-2.61E-07,0.000353081,-0.000271894,1.00E-05,2.07E-05,-2.78E-07,3.48E-05,3.00E-06,-2.61E-07,-2.78E-07,4.35E-09,-1.05E-06,-0.000867403,0.000353081,3.48E-05,-1.05E-06,0.009144021
0.006194195,-0.001530202,-0.000293552,3.36E-06,-0.001250282,-0.001530202,0.004828558,-7.86E-06,-2.96E-08,0.000242171,-0.000293552,-7.86E-06,2.20E-05,-2.92E-07,5.85E-05,3.36E-06,-2.96E-08,-2.92E-07,4.49E-09,-1.36E-06,-0.001250282,0.000242171,5.85E-05,-1.36E-06,0.008043122,0.006749031,-0.001919865,-0.000314119,3.59E-06,-0.001173509,-0.001919865,0.004774011,1.45E-05,-2.74E-07,0.000176767,-0.000314119,1.45E-05,2.27E-05,-3.02E-07,4.90E-05,3.59E-06,-2.74E-07,-3.02E-07,4.64E-09,-1.16E-06,-0.001173509,0.000176767,4.90E-05,-1.16E-06,0.007937066
0.005696716,-0.001420903,-0.000292366,3.62E-06,-0.001269459,-0.001420903,0.00420781,-3.78E-06,2.17E-07,-5.12E-05,-0.000292366,-3.78E-06,2.59E-05,-3.92E-07,6.95E-05,3.62E-06,2.17E-07,-3.92E-07,6.61E-09,-1.32E-06,-0.001269459,-5.12E-05,6.95E-05,-1.32E-06,0.007871,0.00549038,-0.001507548,-0.000253854,2.80E-06,-0.000900815,-0.001507548,0.004144634,-4.42E-06,2.63E-07,1.09E-05,-0.000253854,-4.42E-06,2.11E-05,-2.95E-07,1.99E-05,2.80E-06,2.63E-07,-2.95E-07,4.70E-09,-4.20E-07,-0.000900815,1.09E-05,1.99E-05,-4.20E-07,0.007739622
