pv1..Const,pv1..male,pv1..age,pv1..I(age^2),pv1..vaccine08,pv1.global_nonconst,stat1.Const,stat1.male,stat1.age,stat1.I(age^2),stat1.vaccine08,stat1.global_nonconst,pv2..Const,pv2..male,pv2..age,pv2..I(age^2),pv2..vaccine08,pv2.global_nonconst,stat2.Const,stat2.male,stat2.age,stat2.I(age^2),stat2.vaccine08,stat2.global_nonconst
0.275319348,0.390052842,0.188183707,0.399950774,0.198855174,0.04283829,1.190050608,0.738777275,1.731780214,0.708474297,1.650762562,6.300645909,0.245952544,0.386959061,0.129558897,0.300281486,0.200846024,0.03684088,1.346148656,0.748476337,2.297781907,1.07294367,1.636211756,6.602294356
0.531788874,0.763007379,0.019888628,0.011656197,0.46531873,0.040477193,0.390972086,0.090922712,5.421643664,6.362427435,0.533070693,6.414033183,0.536284469,0.764555529,0.019117682,0.010390936,0.444458238,0.03663546,0.382469663,0.08970264,5.49071877,6.566615587,0.584745467,6.613477336
0.324155095,0.343134377,0.441773263,0.971847126,0.109379963,0.006191709,0.972107664,0.898685665,0.59167208,0.001245505,2.56315699,10.16908812,0.300304588,0.348253844,0.406920269,0.969483317,0.11607977,0.004894956,1.072841107,0.879809563,0.687780716,0.001463546,2.4694333,10.63910006
0.192055798,0.190864908,0.176958074,0.264246329,0.022297957,0.006529282,1.701776621,1.710928795,1.822987531,1.246373096,5.222384364,10.06291654,0.209129412,0.178351854,0.162700153,0.224130623,0.020236669,0.006974308,1.57744287,1.811304232,1.948948982,1.477726172,5.391362055,9.931044229
0.226619257,0.433646218,0.040257105,0.03075257,0.015616737,0.005756661,1.461955367,0.613038051,4.207015602,4.66672204,5.845522426,10.31479532,0.235279231,0.427138103,0.050684112,0.043351842,0.016074839,0.010241926,1.408658418,0.630592394,3.818681343,4.081629097,5.79466919,9.162531208
0.141909962,0.465585601,0.065542168,0.060331568,0.049879478,0.018146811,2.157125319,0.532433398,3.391277022,3.528246335,3.845505695,8.018520874,0.14826074,0.466187666,0.072146551,0.069502216,0.048528606,0.020196523,2.090054929,0.530997798,3.233495287,3.294737503,3.891584962,7.804489661
0.849851267,0.129255462,0.013405935,0.011669222,0.014402573,0.001831832,0.035837595,2.301423856,6.114737076,6.360445872,5.988116494,12.60487758,0.853684462,0.124708946,0.018977337,0.018955514,0.013899732,0.003160972,0.03401051,2.357161206,5.503602726,5.50561491,6.05083378,11.5137512
0.708151095,0.555157524,0.004670863,0.019094647,0.24118229,0.007090169,0.140130719,0.348158306,8.002661938,5.492826736,1.373670215,9.898092159,0.711050221,0.550812179,0.002679341,0.007937886,0.248265301,0.006056093,0.137230222,0.355864191,9.013900061,7.047434638,1.333038971,10.2133809
0.533126816,0.289295079,0.002100186,0.000604647,0.015265174,7.94E-05,0.388428105,1.122899001,9.459847272,11.76161629,5.885602466,18.88278962,0.564225949,0.295048624,0.001536653,0.000152731,0.014667297,1.98E-05,0.332439828,1.096440368,10.03413968,14.3382321,5.955998077,21.6589951
0.966108076,0.807346919,0.000912864,0.001162429,0.049563861,0.001088939,0.001805401,0.05946287,10.99645243,10.54912837,3.856152597,13.64510373,0.965901782,0.806617116,0.001372151,0.001591039,0.049372528,0.001768368,0.00182746,0.059923359,10.24285496,9.970087865,3.862641878,12.67539587
