"Estimate_NTLB","Estimate_NTUB","Estimate_ATLB","Estimate_ATUB","Estimate_COLB","Estimate_COUB","True_NTLB","True_NTUB","True_ATLB","True_ATUB","True_COLB","True_COUB","Coverage_NT","Coverage_AT","Coverage_CO"
0.092145594,0.18697318,0.094284674,0.422642883,0.158786635,0.426970902,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.118089431,0.216666667,0,0.12,0.261908168,0.393237298,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.178409091,0.245454545,0,0.392208246,0.240854449,0.435785608,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.089072214,0.178503109,0,0.1479679,0.260079053,0.421601504,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.101137615,0.220183486,0.093333333,0.421299435,0.229691158,0.465306644,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.08004827,0.172667702,0.097368421,0.360526316,0.277785299,0.468548686,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.162601626,0.243902439,0,0.087481146,0.223240589,0.341414238,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.141681603,0.236842105,0,0.25225828,0.207922371,0.409455169,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.143741935,0.232,0,0.313861985,0.163994027,0.391620899,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.092286501,0.175619835,0,0.322874494,0.197374121,0.415095666,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.103207237,0.201754386,0.076190476,0.528571429,0.218651338,0.421541082,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.128249431,0.243697479,0,0.259987893,0.125222128,0.354940895,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,0
0.117291256,0.239316239,0,0.392857143,0.164561711,0.440165062,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.102902903,0.189189189,0.069758673,0.355367256,0.27348813,0.451074764,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.071250421,0.158206943,0,0.246411483,0.27052937,0.450318797,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.093098958,0.198717949,0.030267296,0.313286164,0.219274163,0.429376213,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.140298507,0.24,0,0.233652313,0.20736643,0.420112118,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
