"Estimate","True","Pvalue","Coverage"
0.35451505,0.235772358,1.11022302462516e-15,1
0.350340136,0.235772358,2.03392858111329e-12,1
0.372483221,0.235772358,6.66133814775094e-16,1
0.315436242,0.235772358,1.31094515243291e-08,1
0.362711864,0.235772358,8.97726337711902e-13,1
0.346289753,0.235772358,4.9293902293357e-14,1
0.361774744,0.235772358,4.44089209850063e-16,1
0.313131313,0.235772358,5.75674792946401e-06,1
0.355263158,0.235772358,3.17523785042795e-14,1
0.328719723,0.235772358,9.21862586267252e-12,1
0.359060403,0.235772358,6.32494057128952e-12,1
0.34137931,0.235772358,1.88049575911009e-12,1
0.361204013,0.235772358,3.30846461338297e-14,1
0.359861592,0.235772358,1.13242748511766e-14,1
0.373737374,0.235772358,1.10356168647741e-13,1
0.347222222,0.235772358,0,1
0.368421053,0.235772358,8.28226376370367e-14,1
0.329861111,0.235772358,7.61899432433211e-11,1
0.335616438,0.235772358,3.29455951408875e-09,1
0.388111888,0.235772358,0,1
0.362068966,0.235772358,1.83630888273001e-13,1
0.335640138,0.235772358,3.50941498084012e-12,1
0.348275862,0.235772358,5.99520433297585e-15,1
0.347972973,0.235772358,2.88657986402541e-14,1
0.367132867,0.235772358,5.97299987248334e-14,1
0.360544218,0.235772358,8.65973959207622e-15,1
0.358885017,0.235772358,1.88737914186277e-14,1
0.352941176,0.235772358,8.74544880957728e-12,1
0.351535836,0.235772358,8.24229573481716e-13,1
0.316831683,0.235772358,9.68444318072414e-08,1
0.367346939,0.235772358,0,1
0.375,0.235772358,2.44249065417534e-15,1
0.35016835,0.235772358,7.51181339353479e-11,1
0.361486486,0.235772358,1.99840144432528e-15,1
0.35451505,0.235772358,2.43116637932417e-11,1
0.386759582,0.235772358,1.77635683940025e-15,1
0.345637584,0.235772358,1.49290801942925e-10,1
0.325342466,0.235772358,9.46835942983171e-11,1
0.340206186,0.235772358,4.83235673698346e-12,1
0.328767123,0.235772358,1.15770015796102e-09,1
0.366101695,0.235772358,3.64153152077051e-14,1
0.333333333,0.235772358,5.82156545192447e-12,1
0.340206186,0.235772358,1.59528279475296e-09,1
0.366906475,0.235772358,2.22044604925031e-15,1
0.333333333,0.235772358,7.13913372862862e-11,1
0.321917808,0.235772358,5.91119597714851e-09,1
0.320819113,0.235772358,3.31983995849328e-10,1
0.314381271,0.235772358,2.53554488516272e-09,1
0.306122449,0.235772358,6.64362135527341e-07,1
0.326530612,0.235772358,2.31166197295352e-10,1
0.343642612,0.235772358,6.26660945357571e-11,1
0.328813559,0.235772358,7.82818254663198e-12,1
0.373737374,0.235772358,4.44089209850063e-16,1
0.359589041,0.235772358,9.58144674712003e-12,1
0.324137931,0.235772358,1.31901697564274e-07,1
0.387205387,0.235772358,0,1
0.347079038,0.235772358,2.38256081530608e-11,1
0.390410959,0.235772358,8.43769498715119e-15,1
0.356401384,0.235772358,6.85451695403572e-13,1
0.358108108,0.235772358,1.28119737041743e-13,1
0.341296928,0.235772358,1.33226762955019e-14,1
0.35472973,0.235772358,3.10862446895044e-15,1
0.35451505,0.235772358,4.66293670342566e-15,1
0.337792642,0.235772358,3.83835185857606e-11,1
0.346020761,0.235772358,4.90718576884319e-14,1
0.349152542,0.235772358,1.63646873829748e-13,1
0.336734694,0.235772358,7.23865412055602e-13,1
0.352750809,0.235772358,7.62030438750116e-11,1
0.371621622,0.235772358,1.11022302462516e-15,1
0.346153846,0.235772358,3.77475828372553e-15,1
0.360424028,0.235772358,8.19344592173366e-13,1
0.350694444,0.235772358,1.35869093753627e-12,1
0.376271186,0.235772358,0,1
0.342192691,0.235772358,6.21502849185163e-13,1
0.30976431,0.235772358,5.4602906418566e-08,1
0.370748299,0.235772358,2.8155255904494e-13,1
0.321917808,0.235772358,3.17066173316505e-09,1
0.360824742,0.235772358,7.85149723014911e-13,1
0.33447099,0.235772358,2.63313815196398e-11,1
0.361486486,0.235772358,3.99680288865056e-15,1
0.332167832,0.235772358,4.21040979858844e-12,1
0.329896907,0.235772358,1.17876730598709e-08,1
0.361111111,0.235772358,5.17363929475323e-14,1
0.374558304,0.235772358,6.66133814775094e-15,1
0.324414716,0.235772358,5.45203882040823e-11,1
0.326460481,0.235772358,1.59589452763953e-10,1
0.364548495,0.235772358,3.5527136788005e-15,1
0.375426621,0.235772358,6.66133814775094e-14,1
0.335548173,0.235772358,4.44089209850063e-16,1
0.335664336,0.235772358,1.48088172835514e-08,1
0.351351351,0.235772358,4.62030413928005e-12,1
0.337792642,0.235772358,1.74257719365301e-10,1
0.363636364,0.235772358,1.55653268052447e-13,1
0.328719723,0.235772358,1.04601327599596e-08,1
0.337979094,0.235772358,1.19015908239817e-13,1
0.381756757,0.235772358,1.11022302462516e-15,1
0.342019544,0.235772358,3.55600691115399e-08,1
0.33220339,0.235772358,9.14353037728688e-11,1
0.343537415,0.235772358,2.23047758041162e-09,1
0.350877193,0.235772358,1.87072579649339e-12,1
0.37414966,0.235772358,7.84927678409986e-13,1
0.324041812,0.235772358,4.80788964196677e-10,1
0.335640138,0.235772358,4.60098625865157e-12,1
0.315972222,0.235772358,4.93846441518286e-08,1
0.303448276,0.235772358,7.86318365975092e-09,1
0.344827586,0.235772358,3.45723449868274e-13,1
